#Posizione iniziale-->2
#Velocita' iniziale-->1
#Costante elastica-->6
#Massa oscillante-->2
#Tempo massimo di integrazione-->100
#Pulsazione al quadrato-->3
#Primo passo di tempo su cui si integra-->0.01
#E' stato utilizzato l'algoritmo di Eulero
#Legenda
#1:t 2:x 3:v 4:dE/Eo 5:E
4.11 1.8831 -2.0168 0.131203 14.7056
4.12 1.86293 -2.07329 0.131542 14.71
4.13 1.8422 -2.12918 0.131882 14.7145
4.14 1.82091 -2.18444 0.132221 14.7189
4.15 1.79906 -2.23907 0.132561 14.7233
4.16 1.77667 -2.29304 0.132901 14.7277
4.17 1.75374 -2.34634 0.133241 14.7321
4.18 1.73028 -2.39895 0.13358 14.7365
4.19 1.70629 -2.45086 0.133921 14.741
4.2 1.68178 -2.50205 0.134261 14.7454
4.21 1.65676 -2.5525 0.134601 14.7498
4.22 1.63123 -2.60221 0.134941 14.7542
4.23 1.60521 -2.65114 0.135282 14.7587
4.24 1.5787 -2.6993 0.135622 14.7631
4.25 1.55171 -2.74666 0.135963 14.7675
4.26 1.52424 -2.79321 0.136304 14.772
4.27 1.49631 -2.83894 0.136645 14.7764
4.28 1.46792 -2.88383 0.136986 14.7808
4.29 1.43908 -2.92787 0.137327 14.7852
4.3 1.4098 -2.97104 0.137668 14.7897
4.31 1.38009 -3.01333 0.138009 14.7941
4.32 1.34996 -3.05474 0.138351 14.7986
4.33 1.31941 -3.09523 0.138692 14.803
4.34 1.28846 -3.13482 0.139034 14.8074
4.35 1.25711 -3.17347 0.139376 14.8119
4.36 1.22537 -3.21118 0.139717 14.8163
4.37 1.19326 -3.24794 0.140059 14.8208
4.38 1.16078 -3.28374 0.140401 14.8252
4.39 1.12795 -3.31857 0.140744 14.8297
4.4 1.09476 -3.3524 0.141086 14.8341
4.41 1.06124 -3.38525 0.141428 14.8386
4.42 1.02738 -3.41708 0.14177 14.843
4.43 0.993213 -3.44791 0.142113 14.8475
4.44 0.958734 -3.4777 0.142456 14.8519
4.45 0.923957 -3.50646 0.142798 14.8564
4.46 0.888892 -3.53418 0.143141 14.8608
4.47 0.85355 -3.56085 0.143484 14.8653
4.48 0.817942 -3.58646 0.143827 14.8698
4.49 0.782077 -3.61099 0.14417 14.8742
4.5 0.745967 -3.63446 0.144514 14.8787
4.51 0.709623 -3.65684 0.144857 14.8831
4.52 0.673054 -3.67812 0.1452 14.8876
4.53 0.636273 -3.69832 0.145544 14.8921
4.54 0.59929 -3.7174 0.145888 14.8965
4.55 0.562116 -3.73538 0.146231 14.901
4.56 0.524762 -3.75225 0.146575 14.9055
4.57 0.48724 -3.76799 0.146919 14.91
4.58 0.44956 -3.78261 0.147263 14.9144
4.59 0.411734 -3.79609 0.147608 14.9189
4.6 0.373773 -3.80845 0.147952 14.9234
4.61 0.335688 -3.81966 0.148296 14.9279
4.62 0.297492 -3.82973 0.148641 14.9323
4.63 0.259195 -3.83865 0.148985 14.9368
4.64 0.220808 -3.84643 0.14933 14.9413
4.65 0.182344 -3.85305 0.149675 14.9458
4.66 0.143813 -3.85852 0.15002 14.9503
4.67 0.105228 -3.86284 0.150365 14.9547
4.68 0.0665995 -3.866 0.15071 14.9592
4.69 0.0279396 -3.86799 0.151055 14.9637
4.7 -0.0107403 -3.86883 0.1514 14.9682
4.71 -0.0494287 -3.86851 0.151746 14.9727
4.72 -0.0881137 -3.86703 0.152091 14.9772
4.73 -0.126784 -3.86438 0.152437 14.9817
4.74 -0.165428 -3.86058 0.152783 14.9862
4.75 -0.204034 -3.85562 0.153128 14.9907
4.76 -0.24259 -3.8495 0.153474 14.9952
4.77 -0.281085 -3.84222 0.15382 14.9997
4.78 -0.319507 -3.83379 0.154167 15.0042
4.79 -0.357845 -3.8242 0.154513 15.0087
4.8 -0.396087 -3.81346 0.154859 15.0132
4.81 -0.434221 -3.80158 0.155206 15.0177
4.82 -0.472237 -3.78856 0.155552 15.0222
4.83 -0.510123 -3.77439 0.155899 15.0267
4.84 -0.547867 -3.75908 0.156246 15.0312
4.85 -0.585458 -3.74265 0.156592 15.0357
4.86 -0.622884 -3.72509 0.156939 15.0402
4.87 -0.660135 -3.7064 0.157287 15.0447
4.88 -0.697199 -3.68659 0.157634 15.0492
4.89 -0.734065 -3.66568 0.157981 15.0538
4.9 -0.770722 -3.64366 0.158328 15.0583
4.91 -0.807158 -3.62054 0.158676 15.0628
4.92 -0.843364 -3.59632 0.159024 15.0673
4.93 -0.879327 -3.57102 0.159371 15.0718
4.94 -0.915037 -3.54464 0.159719 15.0763
4.95 -0.950483 -3.51719 0.160067 15.0809
4.96 -0.985655 -3.48867 0.160415 15.0854
4.97 -1.02054 -3.4591 0.160763 15.0899
4.98 -1.05513 -3.42849 0.161111 15.0944
4.99 -1.08942 -3.39683 0.16146 15.099
5 -1.12339 -3.36415 0.161808 15.1035
5.01 -1.15703 -3.33045 0.162157 15.108
5.02 -1.19033 -3.29574 0.162505 15.1126
5.03 -1.22329 -3.26003 0.162854 15.1171
5.04 -1.25589 -3.22333 0.163203 15.1216
5.05 -1.28812 -3.18565 0.163552 15.1262
5.06 -1.31998 -3.14701 0.163901 15.1307
5.07 -1.35145 -3.10741 0.16425 15.1353
5.08 -1.38252 -3.06687 0.164599 15.1398
5.09 -1.41319 -3.02539 0.164949 15.1443
5.1 -1.44345 -2.983 0.165298 15.1489
5.11 -1.47328 -2.93969 0.165648 15.1534
5.12 -1.50267 -2.89549 0.165998 15.158
5.13 -1.53163 -2.85041 0.166347 15.1625
5.14 -1.56013 -2.80446 0.166697 15.1671
5.15 -1.58818 -2.75766 0.167047 15.1716
5.16 -1.61575 -2.71002 0.167397 15.1762
5.17 -1.64285 -2.66154 0.167748 15.1807
5.18 -1.66947 -2.61226 0.168098 15.1853
5.19 -1.69559 -2.56217 0.168448 15.1898
5.2 -1.72121 -2.51131 0.168799 15.1944
5.21 -1.74633 -2.45967 0.169149 15.1989
5.22 -1.77092 -2.40728 0.1695 15.2035
